sample,region,X,Y
6115414,England,348000,528000
6118360,England,454000,319000
6119595,England,496000,165000
6120074,England,462000,337000
6120075,England,474000,405000
6120589,England,475000,376000
6123924,England,499000,106000
6125895,Wales,268000,258000
6132073,England,538000,128000
6132772,England,544000,181000
6134264,England,476000,217000
6134265,England,453000,221000
6134266,England,469000,229000
6135839,England,516000,174000
6137332,Scotland,302000,860000
6138218,England,508000,204000
6142057,England,401000,571000
6142503,England,504000,157000
6151702,England,493000,100000
6159327,England,329000,250000
6159574,England,621000,245000
6161115,England,451000,106000
6162286,Scotland,349000,844000
6166835,England,536000,360000
6168912,England,273000,44000
6169187,England,418000,236000
6174529,England,504000,429000
6178641,England,597000,260000
6178823,Scotland,343000,738000
6178983,Scotland,289000,723000
6179501,England,571000,158000
6179936,England,516000,173000
6179978,England,462000,482000
6179980,England,392000,389000
6181105,Wales,322000,359000
6181315,Scotland,232000,551000
6183918,England,439000,385000
6184831,England,512000,175000
6186121,England,524000,234000
6190177,England,598000,268000
6191221,England,393000,246000
6191469,England,451000,392000
6192807,Wales,290000,193000
6193100,England,527000,188000
6220110,England,518000,185000
6241105,England,504000,163000
6246522,England,401000,195000
6247574,England,499000,126000
6247846,England,550000,163000
6247951,England,618000,278000
6248185,England,432000,386000
6249969,Wales,198000,214000
6252486,England,514000,171000
6252729,England,415000,115000
6254050,England,613000,167000
6268257,England,462000,439000
6267154,England,426000,568000
6271555,England,364000,234000
6273857,Wales,227000,332000
6277822,England,587000,327000
6279599,England,451000,480000
6281443,England,408000,145000
6284472,England,458000,428000
6288106,England,400000,158000
6288294,Scotland,303000,686000
6288389,England,376000,222000
6289031,England,544000,259000
6298296,Wales,211000,208000
6327345,England,534000,125000
6339694,England,356000,175000
6340706,England,519000,170000
6341046,England,462000,191000
6347518,England,378000,395000
6413062,England,557000,119000
6413707,England,614000,133000
6414450,England,466000,244000
6415598,England,372000,168000
6418477,England,530000,213000
6424322,England,400000,186000
6424494,England,458000,379000
6424531,England,371000,222000
6424555,England,535000,191000
6424609,Wales,196000,224000
6425258,England,410000,157000
6430103,England,473000,151000
6430806,England,393000,176000
6433060,England,616000,303000
6433291,England,395000,549000
6433391,England,391000,585000
6433422,England,534000,158000
6433509,England,411000,553000
6435410,England,399000,158000
6435480,Wales,256000,257000
6436200,England,329000,378000
6437078,England,528000,322000
6437289,England,363000,110000
6441534,England,478000,379000
6441655,England,382000,132000
6441773,Wales,292000,181000
6442411,England,361000,227000
6443765,England,252000,70000
6444401,England,409000,436000
6445669,England,251000,137000
6445733,England,529000,403000
6445857,Scotland,187000,889000
6445924,Wales,309000,196000
6445998,England,517000,241000
6448656,England,395000,430000
6448660,England,520000,225000
6448808,England,554000,318000
6449178,England,475000,257000
6450526,England,295000,139000
6451170,England,527000,172000
6451439,Wales,195000,215000
6454900,England,433000,316000
6454927,England,436000,290000
6456033,England,422000,615000
6457464,England,200000,51000
6463191,England,323000,126000
6464054,England,513000,131000
6464389,England,417000,160000
6464402,England,387000,422000
6466383,England,601000,267000
6468276,England,447000,226000
6498137,Scotland,328000,863000
6537096,England,334000,127000
6537847,England,618000,243000
6538957,England,360000,206000
6541897,England,433000,543000
6542010,England,387000,259000
6542058,England,451000,106000
6544660,England,387000,375000
6545294,England,547000,155000
6550407,Wales,266000,193000
6550670,Wales,243000,374000
6550725,England,495000,157000
6550769,England,522000,105000
6550828,England,333000,386000
6550863,Wales,278000,376000
6550896,England,449000,192000
6550908,England,547000,167000
6550941,England,401000,347000
6551010,England,394000,111000
6551230,England,344000,324000
6551243,England,421000,221000
6551365,Scotland,355000,634000
6551374,England,405000,262000
6551554,England,489000,148000
6551560,England,211000,52000
6551569,England,534000,182000
6553333,England,490000,143000
6560639,England,507000,167000
6568206,England,247000,74000
6570753,England,481000,152000
6571184,England,483000,167000
6571746,England,432000,411000
6572524,England,622000,291000
6572634,England,379000,586000
6572834,England,521000,163000
6572884,England,602000,193000
6573265,England,509000,432000
6573674,England,492000,188000
6578006,England,458000,105000
6580911,Wales,274000,233000
6582448,Scotland,276000,895000
6582536,England,520000,140000
6584297,England,413000,226000
6586657,England,523000,223000
6591404,Scotland,375000,821000
6592047,Wales,327000,193000
6595120,England,333000,160000
6595163,England,400000,427000
6595204,England,159000,28000
6596360,England,522000,196000
6602130,England,456000,319000
6604004,England,338000,161000
6604055,England,345000,550000
6605261,England,469000,111000
6605477,England,245000,71000
6608246,England,521000,210000
6609039,England,550000,165000
6610214,England,367000,424000
6610605,England,474000,371000
6610622,England,454000,108000
6611252,England,171000,15000
6615655,England,392000,163000
6616326,England,370000,240000
6616353,England,379000,223000
6616486,England,464000,175000
6624272,England,489000,148000
6637112,England,555000,129000
